Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC216895,04/08/2019 06:50:00 PM,007XX N HAMLIN AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,1112,27,18,1150926,1904586,2019,41.894076463,-87.721147264,"(41.894076463, -87.721147264)"
JC216883,04/07/2019 02:00:00 PM,003XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,false,false,1831,42,11,1176298,1902596,2019,41.888081232,-87.628024615,"(41.888081232, -87.628024615)"
JC216818,04/08/2019 06:30:00 PM,014XX N NOBLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1433,2,14,1166794,1909492,2019,41.90721339,-87.662728356,"(41.90721339, -87.662728356)"
JC216565,04/08/2019 03:30:00 PM,034XX W HENDERSON ST,0850,THEFT,ATTEMPT THEFT,SIDEWALK,false,false,1732,35,06,1152922,1922152,2019,41.942239776,-87.713350151,"(41.942239776, -87.713350151)"
JC216695,04/08/2019 04:00:00 PM,010XX W ADDISON ST,5011,OTHER OFFENSE,LICENSE VIOLATION,STREET,false,false,1923,44,26,1168634,1924088,2019,41.947225886,-87.655545441,"(41.947225886, -87.655545441)"
JC216544,04/08/2019 03:13:00 PM,052XX W GLADYS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1522,29,08B,1141531,1897840,2019,41.875743368,-87.755819254,"(41.875743368, -87.755819254)"
JC216009,04/07/2019 05:45:00 PM,014XX N STATE PKWY,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1824,43,11,1176025,1910070,2019,41.90859641,-87.628801757,"(41.90859641, -87.628801757)"
JC216089,04/03/2019 06:45:00 AM,018XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1422,1,06,1153155,1911886,2019,41.914064409,-87.712766855,"(41.914064409, -87.712766855)"
JC216125,04/05/2019 07:30:00 PM,020XX W MADISON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1223,27,06,1162657,1900017,2019,41.881300985,-87.678191093,"(41.881300985, -87.678191093)"
JC215972,04/07/2019 12:00:00 AM,033XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1123,28,14,1154099,1900484,2019,41.882757453,-87.709603286,"(41.882757453, -87.709603286)"
JC216150,04/08/2019 01:30:00 AM,061XX S WASHTENAW AVE,0810,THEFT,OVER $500,STREET,false,false,0825,16,06,1159429,1863836,2019,41.782083133,-87.691037499,"(41.782083133, -87.691037499)"
JC216133,04/03/2019 11:45:00 AM,001XX N LA SALLE ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,42,06,1175106,1901598,2019,41.885369466,-87.63243193,"(41.885369466, -87.63243193)"
JC216841,04/08/2019 06:27:00 PM,014XX W 111TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2234,34,18,1168345,1831133,2019,41.692153988,-87.659288055,"(41.692153988, -87.659288055)"
JC216877,04/08/2019 06:19:00 PM,023XX E 93RD ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS,true,false,0413,7,18,1193368,1843756,2019,41.72621895,-87.567265133,"(41.72621895, -87.567265133)"
JC216945,04/08/2019 01:00:00 PM,001XX N PARKSIDE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1512,29,07,1138578,1900413,2019,41.88285803,-87.766599362,"(41.88285803, -87.766599362)"
JC216854,04/08/2019 07:15:00 AM,059XX N GLENWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2013,48,05,1165898,1939787,2019,41.990363443,-87.665152155,"(41.990363443, -87.665152155)"
JC216792,04/08/2019 06:08:00 PM,020XX W ARTHUR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2412,50,08B,1161570,1943154,2019,41.999694157,-87.680977084,"(41.999694157, -87.680977084)"
JC216936,04/08/2019 08:09:00 PM,092XX S STONY ISLAND AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0413,8,18,1188405,1844018,2019,41.727057669,-87.58543639,"(41.727057669, -87.58543639)"
JC213195,04/03/2019 08:00:00 AM,065XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,false,false,0321,20,14,1183680,1861905,2019,41.776252803,-87.602187675,"(41.776252803, -87.602187675)"
JC216919,04/08/2019 08:12:00 PM,035XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1924,44,08B,1168657,1923609,2019,41.945910991,-87.655474824,"(41.945910991, -87.655474824)"
JC216869,04/08/2019 07:05:00 PM,035XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,false,false,1712,33,08B,1152012,1931668,2019,41.968370363,-87.716443057,"(41.968370363, -87.716443057)"
JC216910,04/08/2019 07:30:00 PM,045XX S FORRESTVILLE AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,true,false,0221,3,18,1180700,1875073,2019,41.812455979,-87.612707389,"(41.812455979, -87.612707389)"
JC216680,04/08/2019 05:10:00 PM,071XX S STATE ST,0460,BATTERY,SIMPLE,STREET,true,false,0323,6,08B,1177519,1857812,2019,41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
JC216780,04/08/2019 03:30:00 PM,009XX W WINONA ST,0460,BATTERY,SIMPLE,ALLEY,false,false,2024,48,08B,1169145,1934326,2019,41.975308195,-87.65336853,"(41.975308195, -87.65336853)"
JC216842,04/08/2019 06:45:00 PM,063XX N KILPATRICK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1711,39,08B,1143924,1941925,2019,41.996672262,-87.745923854,"(41.996672262, -87.745923854)"
JC216956,04/07/2019 11:00:00 PM,070XX S MAPLEWOOD AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0832,17,06,1160592,1857829,2019,41.765575156,-87.686939137,"(41.765575156, -87.686939137)"
JC216789,04/08/2019 06:21:00 PM,056XX S MICHIGAN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,0225,20,14,1178125,1867425,2019,41.791528032,-87.622384437,"(41.791528032, -87.622384437)"
JC216872,04/07/2019 06:00:00 AM,032XX W DIVISION ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1422,26,26,1154483,1907798,2019,41.902820105,-87.707997479,"(41.902820105, -87.707997479)"
JC216927,04/08/2019 07:30:00 PM,040XX N ST LOUIS AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,true,false,1723,35,24,1152336,1926636,2019,41.954555811,-87.715385152,"(41.954555811, -87.715385152)"
JC216774,04/08/2019 06:00:00 PM,043XX S OAKENWALD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,true,0222,4,03,1184953,1876535,2019,41.816368885,-87.597061642,"(41.816368885, -87.597061642)"
JC216479,04/08/2019 02:35:00 PM,015XX E 74TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0324,7,08B,1187649,1856226,2019,41.760575615,-87.587818247,"(41.760575615, -87.587818247)"
JC216898,04/08/2019 06:23:00 PM,005XX N CICERO AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,VEHICLE NON-COMMERCIAL,false,false,1111,28,24,1144261,1903321,2019,41.890733044,-87.745657766,"(41.890733044, -87.745657766)"
JC216691,04/08/2019 04:50:00 PM,073XX S PAXTON AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0333,7,03,1192154,1856772,2019,41.76196556,-87.571289808,"(41.76196556, -87.571289808)"
JC216930,04/08/2019 08:00:00 PM,007XX N MONTICELLO AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,true,1112,27,04A,1151918,1904680,2019,41.894314928,-87.717501462,"(41.894314928, -87.717501462)"
JC216736,04/08/2019 05:50:00 PM,015XX E 73RD PL,041A,BATTERY,AGGRAVATED: HANDGUN,ALLEY,false,false,0324,7,04B,1187818,1856561,2019,41.761490864,-87.587188215,"(41.761490864, -87.587188215)"
JC216937,04/08/2019 07:40:00 PM,047XX W ROOSEVELT RD,0810,THEFT,OVER $500,SIDEWALK,false,false,1131,24,06,1144899,1894279,2019,41.865908688,-87.743542885,"(41.865908688, -87.743542885)"
JC216846,04/08/2019 05:45:00 PM,073XX S PHILLIPS AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,0334,7,06,1193921,1856701,2019,41.761727593,-87.564815996,"(41.761727593, -87.564815996)"
JC216953,04/08/2019 08:36:00 PM,032XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1123,28,08B,1154626,1900796,2019,41.883603086,-87.707659762,"(41.883603086, -87.707659762)"
JC216997,04/06/2019 07:13:00 PM,047XX S HONORE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0931,15,26,1164814,1873314,2019,41.807979854,-87.671026869,"(41.807979854, -87.671026869)"
JC216949,04/08/2019 08:15:00 PM,064XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0314,5,14,1187979,1862696,2019,41.778321993,-87.586402872,"(41.778321993, -87.586402872)"
JC216977,04/08/2019 07:15:00 PM,050XX S HOYNE AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,true,false,0931,15,24,1163207,1871403,2019,41.802769671,-87.676974476,"(41.802769671, -87.676974476)"
JC216668,04/08/2019 01:30:00 PM,007XX N LOREL AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,SIDEWALK,false,false,1524,37,04B,1140539,1904467,2019,41.893946946,-87.759298803,"(41.893946946, -87.759298803)"
JC216813,04/08/2019 06:02:00 PM,002XX S KOSTNER AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,1113,28,18,1147095,1898565,2019,41.877628303,-87.735371526,"(41.877628303, -87.735371526)"
JC216917,04/08/2019 07:45:00 PM,027XX S PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),true,true,1031,22,14,1150154,1885468,2019,41.841629528,-87.724480599,"(41.841629528, -87.724480599)"
JC216970,04/08/2019 08:45:00 PM,008XX S KARLOV AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1132,24,18,1149180,1895999,2019,41.870546787,-87.72778235,"(41.870546787, -87.72778235)"
JC216889,04/08/2019 06:49:00 PM,017XX W 79TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,0611,17,18,1165946,1852305,2019,41.750304448,-87.667471642,"(41.750304448, -87.667471642)"
JC216964,04/08/2019 05:30:00 PM,067XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,true,0831,17,06,1156204,1859967,2019,41.771531518,-87.70296528,"(41.771531518, -87.70296528)"
JC216756,04/08/2019 07:00:00 AM,030XX W FLOURNOY ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1134,28,05,1156244,1896878,2019,41.872819179,-87.701824172,"(41.872819179, -87.701824172)"
JC216988,04/08/2019 08:20:00 PM,064XX W 63RD ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0812,13,06,1134683,1862055,2019,41.777667154,-87.781806489,"(41.777667154, -87.781806489)"
JC216980,04/08/2019 08:44:00 PM,014XX N BOSWORTH AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,false,false,1433,2,15,1165797,1909642,2019,41.90764633,-87.666386473,"(41.90764633, -87.666386473)"
JC216845,04/08/2019 07:03:00 PM,021XX W NORTH AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,true,1424,2,26,1161776,1910621,2019,41.910417621,-87.681130089,"(41.910417621, -87.681130089)"
JC216791,04/08/2019 06:20:00 PM,076XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0421,7,08B,1195250,1854816,2019,41.756522329,-87.56000728,"(41.756522329, -87.56000728)"
JC216747,04/08/2019 05:20:00 PM,046XX W JACKSON BLVD,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,1131,28,08B,1145509,1898288,2019,41.876898356,-87.741201984,"(41.876898356, -87.741201984)"
JC216932,04/08/2019 09:00:00 AM,043XX S KEATING AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0815,22,05,1145418,1875469,2019,41.814281642,-87.742112903,"(41.814281642, -87.742112903)"
JC216939,04/08/2019 03:00:00 PM,005XX N HARTLAND CT,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1215,1,07,1164524,1903759,2019,41.891530015,-87.67122956,"(41.891530015, -87.67122956)"
JC216950,04/08/2019 08:30:00 PM,015XX W MARQUETTE RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0725,16,07,1167056,1860295,2019,41.77220644,-87.663175991,"(41.77220644, -87.663175991)"
JC216955,04/08/2019 07:51:00 PM,029XX S LYMAN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,0913,11,15,1169298,1885217,2019,41.840546871,-87.65423564,"(41.840546871, -87.65423564)"
JC216781,04/08/2019 12:00:00 PM,021XX S ST LOUIS AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",true,false,1024,24,06,1153429,1889475,2019,41.85256088,-87.712355992,"(41.85256088, -87.712355992)"
JC216943,04/08/2019 08:16:00 PM,063XX N ARTESIAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2413,50,08A,1158837,1941954,2019,41.99645801,-87.691064226,"(41.99645801, -87.691064226)"
JC216960,04/08/2019 07:00:00 PM,004XX E 110TH PL,0560,ASSAULT,SIMPLE,STREET,false,false,0513,9,08A,1181063,1831622,2019,41.693213341,-87.612710835,"(41.693213341, -87.612710835)"
JC216880,04/08/2019 04:11:00 PM,0000X S STATE ST,0460,BATTERY,SIMPLE,STREET,true,false,0112,42,08B,1176389,1900268,2019,41.881691019,-87.627760728,"(41.881691019, -87.627760728)"
JC216962,04/05/2019 09:45:00 AM,035XX W 62ND PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0823,23,05,1153950,1862952,2019,41.779767855,-87.711148606,"(41.779767855, -87.711148606)"
JC216860,04/08/2019 06:34:00 PM,006XX N AVERS AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,false,false,1122,37,26,1150608,1904033,2019,41.892565194,-87.722329649,"(41.892565194, -87.722329649)"
JC216631,04/08/2019 04:00:00 PM,022XX N LONG AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2515,36,08B,1140020,1914267,2019,41.920848791,-87.760964781,"(41.920848791, -87.760964781)"
JC216902,04/06/2019 11:00:00 PM,014XX N AVERS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2535,26,07,1150445,1909366,2019,41.907202665,-87.722788898,"(41.907202665, -87.722788898)"
JC216993,04/08/2019 09:10:00 PM,009XX W WRIGHTWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1935,43,07,1169362,1917459,2019,41.929019789,-87.653062881,"(41.929019789, -87.653062881)"
JC217010,04/08/2019 07:57:00 PM,008XX E 81ST ST,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,STREET,true,false,0631,8,26,1183452,1851478,2019,41.747645397,-87.603347877,"(41.747645397, -87.603347877)"
JC215651,04/07/2019 09:25:00 PM,089XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,2222,21,08B,1170549,1845595,2019,41.731792296,-87.650799176,"(41.731792296, -87.650799176)"
JC216567,04/08/2019 07:25:00 AM,041XX W FULLERTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2525,35,07,1148215,1915631,2019,41.924437694,-87.730819046,"(41.924437694, -87.730819046)"
JC216798,04/07/2019 09:00:00 PM,056XX W CHICAGO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,1511,29,07,1138792,1904784,2019,41.894848727,-87.765707358,"(41.894848727, -87.765707358)"
JC216724,04/08/2019 04:25:00 PM,015XX S DRAKE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE PORCH/HALLWAY,false,false,1021,24,20,1152954,1892279,2019,41.860264796,-87.714025166,"(41.860264796, -87.714025166)"
JC216816,04/07/2019 05:20:00 AM,054XX W CORTEZ ST,0810,THEFT,OVER $500,VEHICLE-COMMERCIAL,false,false,1524,37,06,1139731,1906464,2019,41.899441752,-87.762217544,"(41.899441752, -87.762217544)"
JC216933,04/08/2019 05:20:00 PM,001XX N MASON AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,false,true,1512,29,04A,1136751,1900361,2019,41.882748248,-87.773309532,"(41.882748248, -87.773309532)"
JC216875,04/08/2019 07:25:00 PM,025XX N LOWELL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,true,2524,31,04A,1146958,1916498,2019,41.926840967,-87.735415625,"(41.926840967, -87.735415625)"
JC216863,04/08/2019 07:00:00 PM,015XX N LEAMINGTON AVE,0810,THEFT,OVER $500,APARTMENT,false,true,2533,37,06,1141755,1909835,2019,41.908654947,-87.754699793,"(41.908654947, -87.754699793)"
JC217011,04/08/2019 08:43:00 PM,103XX S WABASH AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,true,false,0512,9,11,1178397,1836531,2019,41.706745117,-87.622323177,"(41.706745117, -87.622323177)"
JC216882,04/08/2019 07:09:00 PM,041XX N KENMORE AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),ALLEY,true,false,1915,46,18,1168420,1927844,2019,41.957537138,-87.656222966,"(41.957537138, -87.656222966)"
JC217007,04/08/2019 07:00:00 AM,004XX N STATE ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,42,06,1176302,1903096,2019,41.889453169,-87.627994833,"(41.889453169, -87.627994833)"
JC216957,04/08/2019 08:30:00 PM,065XX S WINCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0726,15,14,1164479,1861391,2019,41.775268726,-87.672591663,"(41.775268726, -87.672591663)"
JC216963,04/07/2019 05:45:00 AM,035XX N HALSTED ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,1924,44,26,1170289,1923901,2019,41.946676677,-87.649467631,"(41.946676677, -87.649467631)"
JC216851,04/08/2019 07:00:00 PM,046XX W DIVERSEY AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2521,31,06,1144951,1918212,2019,41.931582515,-87.742747165,"(41.931582515, -87.742747165)"
JC216952,04/08/2019 06:58:00 PM,053XX S CALUMET AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0231,3,08A,1179390,1869679,2019,41.797684416,-87.617677164,"(41.797684416, -87.617677164)"
JC216828,04/08/2019 05:56:00 PM,064XX S MAY ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,APARTMENT,false,true,0724,16,08B,1169757,1862118,2019,41.777150794,-87.653222084,"(41.777150794, -87.653222084)"
JC217009,04/08/2019 09:17:00 PM,018XX W 50TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARK PROPERTY,true,false,0931,20,15,1165058,1871534,2019,41.803090162,-87.670182311,"(41.803090162, -87.670182311)"
JC216727,04/08/2019 05:37:00 PM,120XX S LOWE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0523,34,08A,1174151,1825008,2019,41.675219383,-87.638212387,"(41.675219383, -87.638212387)"
JC216749,04/08/2019 04:54:00 PM,027XX S DEARBORN ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,0133,3,26,1176315,1886573,2019,41.844112707,-87.628445336,"(41.844112707, -87.628445336)"
JC216671,04/08/2019 10:30:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,CTA BUS STOP,false,false,0312,20,06,1180005,1863280,2019,41.780110888,-87.615617777,"(41.780110888, -87.615617777)"
JC216839,04/08/2019 05:39:00 PM,0000X W 104TH PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,false,0512,34,04B,1177731,1835676,2019,41.704413942,-87.624787801,"(41.704413942, -87.624787801)"
JC217017,04/08/2019 08:30:00 PM,080XX S PAXTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,0414,8,14,1192255,1852172,2019,41.749340326,-87.571069017,"(41.749340326, -87.571069017)"
JC217004,04/08/2019 04:00:00 PM,082XX S INGLESIDE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,true,false,0631,8,26,1183997,1850624,2019,41.745289225,-87.601377474,"(41.745289225, -87.601377474)"
JC217075,04/07/2019 11:00:00 AM,087XX S BURLEY AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,true,0424,10,08B,1199188,1847558,2019,41.736507824,-87.545819043,"(41.736507824, -87.545819043)"
JC217015,04/08/2019 10:30:00 AM,103XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0512,9,07,1178964,1836624,2019,41.706987456,-87.620244029,"(41.706987456, -87.620244029)"
JC216989,04/08/2019 09:00:00 PM,023XX W 111TH ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,2212,19,08A,1162766,1830957,2019,41.691788999,-87.67971859,"(41.691788999, -87.67971859)"
JC216866,04/08/2019 06:30:00 PM,084XX S KIMBARK AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0412,8,08A,1186452,1849268,2019,41.741510566,-87.592424836,"(41.741510566, -87.592424836)"
JC216778,04/08/2019 06:26:00 PM,040XX N ST LOUIS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1723,35,04B,1152336,1926649,2019,41.954591484,-87.715384807,"(41.954591484, -87.715384807)"
JC216974,04/08/2019 08:57:00 PM,116XX S RACINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0524,34,08B,1170421,1827534,2019,41.682232913,-87.651791749,"(41.682232913, -87.651791749)"
JC216984,04/08/2019 09:06:00 PM,028XX W IRVING PARK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,false,false,1724,33,14,1156918,1926457,2019,41.953972726,-87.698545833,"(41.953972726, -87.698545833)"
JC216772,04/08/2019 06:00:00 PM,131XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0533,9,08B,1183245,1818376,2019,41.656814066,-87.605131994,"(41.656814066, -87.605131994)"
JC215507,04/07/2019 02:59:00 PM,031XX W MONTROSE AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1724,33,06,1154819,1929075,2019,41.96119909,-87.706191604,"(41.96119909, -87.706191604)"
JC217067,04/08/2019 09:33:00 PM,075XX S JEFFERY BLVD,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,0414,8,26,1190844,1855469,2019,41.758421765,-87.576133063,"(41.758421765, -87.576133063)"
JC216808,04/05/2019 03:30:00 PM,094XX S EBERHART AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0633,9,06,1181231,1842568,2019,41.723246732,-87.611759942,"(41.723246732, -87.611759942)"
JC217076,04/08/2019 04:00:00 PM,029XX S LOOMIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0913,11,14,1168555,1885362,2019,41.840960853,-87.656957962,"(41.840960853, -87.656957962)"
JC216973,04/08/2019 07:45:00 AM,052XX S DREXEL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0233,5,26,1183133,1870463,2019,41.799749445,-87.603926757,"(41.799749445, -87.603926757)"
JC216986,04/08/2019 08:45:00 PM,057XX S CICERO AVE,1335,CRIMINAL TRESPASS,TO AIRPORT,AIRPORT EXTERIOR - SECURE AREA,true,false,0813,23,26,1145654,1866253,2019,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
JC217016,04/08/2019 06:00:00 PM,070XX N ASHLAND BLVD,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",false,false,2423,49,06,1164500,1946791,2019,42.009612403,-87.670094726,"(42.009612403, -87.670094726)"
JC216601,04/06/2019 03:00:00 PM,120XX S EMERALD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0523,34,05,1173473,1825079,2019,41.675429201,-87.6406919,"(41.675429201, -87.6406919)"
JC217043,04/08/2019 10:00:00 PM,061XX S SACRAMENTO AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0823,16,08A,1157435,1863820,2019,41.782079867,-87.698348521,"(41.782079867, -87.698348521)"
JC216925,04/08/2019 07:59:00 PM,114XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2234,34,08B,1171040,1828980,2019,41.686187514,-87.649483831,"(41.686187514, -87.649483831)"
JC216971,04/08/2019 05:40:00 PM,076XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0624,8,08B,1183553,1854644,2019,41.756330877,-87.602879293,"(41.756330877, -87.602879293)"
JC217030,04/08/2019 08:40:00 PM,032XX W LAWRENCE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1713,33,06,1153740,1931704,2019,41.968434832,-87.710088296,"(41.968434832, -87.710088296)"
JC217001,04/08/2019 08:57:00 PM,077XX S CORNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0414,8,08B,1188582,1853925,2019,41.754239225,-87.584472227,"(41.754239225, -87.584472227)"
JC217013,04/08/2019 06:00:00 AM,026XX N MARMORA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,2514,30,06,1136605,1917037,2019,41.928511846,-87.773445978,"(41.928511846, -87.773445978)"
JC216748,04/08/2019 05:48:00 PM,027XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2512,36,06,1133279,1917422,2019,41.929627277,-87.785659069,"(41.929627277, -87.785659069)"
JC217039,04/08/2019 09:30:00 PM,037XX N OCONTO AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1631,38,08A,1127083,1923816,2019,41.947279542,-87.808284213,"(41.947279542, -87.808284213)"
