Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC216079,04/08/2019 09:43:00 AM,059XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,GAS STATION,false,false,0824,16,08B,1158725,1865240,2019,41.785950308,-87.693580269,"(41.785950308, -87.693580269)"
JC216022,04/08/2019 08:52:00 AM,034XX W 47TH ST,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),true,false,0821,14,26,1154548,1873266,2019,41.80805906,-87.708681483,"(41.80805906, -87.708681483)"
JC216084,04/07/2019 04:30:00 PM,023XX W GARFIELD BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0923,15,06,1161420,1868146,2019,41.793869305,-87.683618514,"(41.793869305, -87.683618514)"
JC216055,04/08/2019 09:45:00 AM,046XX S COTTAGE GROVE AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CURRENCY EXCHANGE,false,false,0221,4,26,1182374,1874391,2019,41.810545834,-87.606588383,"(41.810545834, -87.606588383)"
JC215899,04/08/2019 06:00:00 AM,041XX W GRENSHAW ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1132,24,14,1149024,1894719,2019,41.867037335,-87.7283882,"(41.867037335, -87.7283882)"
JC216072,04/03/2019 04:00:00 PM,111XX S VERNON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,false,false,0531,9,04A,1181217,1831375,2019,41.692532002,-87.612154585,"(41.692532002, -87.612154585)"
JC216036,04/08/2019 09:00:00 AM,0000X W 111TH PL,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0522,34,08A,1178051,1831035,2019,41.691671148,-87.623756029,"(41.691671148, -87.623756029)"
JC215956,04/08/2019 07:55:00 AM,005XX N PULASKI RD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1111,37,04B,1149631,1903207,2019,41.890317598,-87.725939277,"(41.890317598, -87.725939277)"
JC216154,04/06/2019 11:00:00 PM,038XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,STREET,false,true,1133,28,08A,1150839,1898413,2019,41.877138797,-87.721628399,"(41.877138797, -87.721628399)"
JC216051,04/08/2019 09:20:00 AM,002XX E 103RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0512,9,14,1179495,1836722,2019,41.707244299,-87.618296546,"(41.707244299, -87.618296546)"
JC216069,04/08/2019 09:30:00 AM,016XX W 59TH ST,0560,ASSAULT,SIMPLE,FEDERAL BUILDING,true,false,0715,16,08A,1166240,1865581,2019,41.786729308,-87.666016839,"(41.786729308, -87.666016839)"
JC216173,04/08/2019 10:59:00 AM,042XX W 14TH ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1011,24,18,1148527,1893042,2019,41.86244504,-87.730256019,"(41.86244504, -87.730256019)"
JC216105,04/08/2019 09:30:00 AM,057XX S LAKE SHORE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0331,5,14,1189729,1867390,2019,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
JC216161,04/06/2019 11:00:00 AM,034XX S CALIFORNIA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,false,false,0911,12,11,1158249,1882014,2019,41.831990039,-87.69486863,"(41.831990039, -87.69486863)"
JC216108,04/08/2019 08:45:00 AM,080XX S WESTERN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0835,18,06,1161778,1851102,2019,41.747090733,-87.68277849,"(41.747090733, -87.68277849)"
JC216091,04/07/2019 10:00:00 PM,071XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0323,6,07,1178399,1857704,2019,41.76484639,-87.621674727,"(41.76484639, -87.621674727)"
JC216100,04/06/2019 09:30:00 PM,025XX E 77TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0421,7,03,1194621,1854405,2019,41.755410006,-87.562325895,"(41.755410006, -87.562325895)"
JC216142,04/08/2019 10:39:00 AM,033XX S DR MARTIN LUTHER KING JR DR,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0211,4,06,1179464,1882682,2019,41.833364024,-87.617008302,"(41.833364024, -87.617008302)"
JC216162,04/06/2019 10:00:00 AM,012XX W OAKDALE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1933,32,06,1167502,1919719,2019,41.935261635,-87.659832523,"(41.935261635, -87.659832523)"
JC216030,04/08/2019 07:30:00 AM,016XX W HOWARD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2422,49,08B,1163750,1950346,2019,42.019383301,-87.67275327,"(42.019383301, -87.67275327)"
JC215918,04/08/2019 07:00:00 AM,044XX S CALUMET AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0215,3,04A,1179172,1875729,2019,41.814291122,-87.618292017,"(41.814291122, -87.618292017)"
JC215748,04/07/2019 07:00:00 AM,0000X E MONROE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0112,42,14,1177048,1899950,2019,41.880803517,-87.62535056,"(41.880803517, -87.62535056)"
JC214875,04/07/2019 07:45:00 AM,043XX S DR MARTIN LUTHER KING JR SD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,true,0215,3,08B,1179508,1876372,2019,41.816047888,-87.617039886,"(41.816047888, -87.617039886)"
JC216094,04/08/2019 09:20:00 AM,016XX W 111TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,2234,34,26,1167542,1831111,2019,41.692110822,-87.662228591,"(41.692110822, -87.662228591)"
JC216139,04/08/2019 08:59:00 AM,036XX W GRAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,true,false,1112,27,18,1152073,1907615,2019,41.902365801,-87.716854733,"(41.902365801, -87.716854733)"
JC216167,04/06/2019 07:00:00 AM,001XX W OAK ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1832,2,26,1174734,1907126,2019,41.900546929,-87.633632427,"(41.900546929, -87.633632427)"
JC216183,04/08/2019 10:45:00 AM,041XX W ADAMS ST,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,SIDEWALK,true,false,1115,28,26,1148845,1898690,2019,41.877937681,-87.728942691,"(41.877937681, -87.728942691)"
JC216172,04/08/2019 10:44:00 AM,065XX S MARSHFIELD AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,SIDEWALK,true,false,0725,15,26,1166447,1861440,2019,41.775361469,-87.665375807,"(41.775361469, -87.665375807)"
JC215949,04/08/2019 07:58:00 AM,009XX W 76TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0621,17,08B,1171180,1854436,2019,41.756039436,-87.648229712,"(41.756039436, -87.648229712)"
JC216099,04/04/2019 06:00:00 PM,077XX S HALSTED ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0621,17,06,1172309,1853534,2019,41.753539487,-87.644118665,"(41.753539487, -87.644118665)"
JC215894,04/07/2019 02:30:00 PM,111XX S KEDZIE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,false,false,2211,19,26,1157015,1830471,2019,41.690573145,-87.700786991,"(41.690573145, -87.700786991)"
JC216026,04/04/2019 04:00:00 PM,021XX W GREENLEAF AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING",false,false,2411,50,26,1160555,1946924,2019,42.010060309,-87.684605927,"(42.010060309, -87.684605927)"
JC216166,04/07/2019 12:00:00 PM,077XX S EMERALD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0621,17,11,1172641,1853588,2019,41.753680365,-87.64290042,"(41.753680365, -87.64290042)"
JC216198,04/08/2019 11:20:00 AM,014XX W 63RD ST,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,SIDEWALK,true,false,0713,16,26,1167639,1862965,2019,41.779520772,-87.660962362,"(41.779520772, -87.660962362)"
JC215170,04/07/2019 11:43:00 AM,002XX N LAPORTE AVE,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,STREET,false,false,1532,28,02,1143336,1901149,2019,41.884790152,-87.749109169,"(41.884790152, -87.749109169)"
JC216188,04/06/2019 12:00:00 PM,006XX W 70TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0732,6,06,1173055,1858468,2019,41.767062556,-87.641239381,"(41.767062556, -87.641239381)"
JC216000,04/08/2019 08:37:00 AM,008XX E 80TH ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0624,8,08B,1183130,1852139,2019,41.749466741,-87.604507253,"(41.749466741, -87.604507253)"
JC216031,04/08/2019 08:59:00 AM,015XX N LAWNDALE AVE,1330,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PRIVATE, BUILDING",true,false,2535,26,26,1151418,1909993,2019,41.908904152,-87.719198131,"(41.908904152, -87.719198131)"
JC216159,04/08/2019 09:30:00 AM,068XX S RIDGELAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0332,5,08A,1189048,1859899,2019,41.770621253,-87.582573441,"(41.770621253, -87.582573441)"
JC216135,04/08/2019 10:12:00 AM,013XX E 72ND PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0324,8,14,1186467,1857200,2019,41.763276389,-87.592119503,"(41.763276389, -87.592119503)"
JC216177,04/08/2019 10:30:00 AM,005XX N LEAMINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1532,37,08B,1141935,1903113,2019,41.890205665,-87.754205244,"(41.890205665, -87.754205244)"
